Issue type,Issue key,Summary,Priority,Status,First sprint,Last sprint,Open sprint,Story points,Number of sprints,Resolution,Created date,Updated date
Bug,T-2331,ordering,High,To Do,,,,,0,Unresolved,2024-02-21 13:06:27,2024-02-21 14:35:58
Bug,T-2328,Bug - Quantities,High,To Do,,,,,0,Unresolved,2024-02-16 16:46:09,2024-02-21 13:13:13
Story,T-2322,support performance testing,Not Selected,To Do,Q1S42024 T 02/14 to 02/27,Q1S42024 T 02/14 to 02/27,Q1S42024 T 02/14 to 02/27,1,1,Unresolved,2024-02-14 09:18:12,2024-02-14 10:49:44
